     AGC/ObjID		  RA	    Dec     r        z     D[Mpc]    LogM*  LogMHI/M*  code (ALFALFA-only, noSDSS spec =1, SDSS-only=2, match=3)
              226026    0.0000    0.0000  17.83   0.0446   195.57   9.2430   0.5049    1
              225992    0.0000    0.0000  18.27   0.0201    90.93   8.0973   1.1121    1
              220172  182.6703   14.6458  17.40   0.0082    16.70   7.4236   0.4400    1
              223279  183.2440   14.1092  17.41   0.0197    89.14   8.5325   0.6038    1
                7227  183.3878   14.4819  15.11   0.0081    16.70   8.5313  -0.4577    1
              226043    0.0000    0.0000    NaN   0.0431   189.29      NaN      NaN    1
              226182    0.0000    0.0000  13.97   0.0220    98.92  10.8079  -1.6383    1
              226051    0.0000    0.0000  16.28   0.0263   117.34   9.4539   0.1652    1
              220282    0.0000    0.0000  14.23   0.0042    16.70   8.9650  -1.4063    1
              226087  184.3197   14.4587  18.23   0.0455   199.62   9.1303   0.6755    1
              225868  184.3684   14.1066  16.50   0.0259   115.53   9.4350  -0.0336    1
              223374    0.0000    0.0000  16.69  -0.0011     0.00      NaN      NaN    1
              226054    0.0000    0.0000    NaN   0.0070    33.33      NaN      NaN    1
              226055    0.0000    0.0000  18.35   0.0073    34.51   8.2692  -0.1043    1
              226056    0.0000    0.0000    NaN   0.0066    31.80      NaN      NaN    1
              226060    0.0000    0.0000  18.53   0.0261   116.43   8.6584   0.5627    1
                7365    0.0000    0.0000  11.36   0.0046    15.42  10.2457  -1.6227    1
              223449  185.1830   14.6313  16.11   0.0020     6.55   7.1842  -0.7017    1
              220435  185.3637   15.0235  23.78   0.0062    30.22   4.4110   3.6707    1
              226071    0.0000    0.0000  18.01   0.0430   188.81   9.1755   0.8601    1
              226072    0.0000    0.0000  15.96   0.0423   185.97  10.0897  -0.0810    1
              226076    0.0000    0.0000  17.82   0.0246   109.92   8.7837   0.5956    1
              220563    0.0000    0.0000  14.20   0.0440   192.86  11.1134  -1.3375    1
                7551    0.0000    0.0000  10.83  -0.0009    13.18  10.2897  -2.5531    1
              226082    0.0000    0.0000  17.75   0.0239   107.07   8.8097   0.6003    1
                7675  187.9766   15.1220   9.21   0.0076    35.61  11.7738  -1.9175    1
              226090    0.0000    0.0000    NaN   0.0465   203.59      NaN      NaN    1
